Time;Australia;Austria;Belgium;Canada;Chile;China;Colombia;Costa Rica;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;India;Indonesia;Ireland;Israel;Italy;Japan;Korea;Latvia;Lithuania;Luxembourg;Mexico;Netherlands;New Zealand;Norway;Poland;Portugal;Slovak Republic;South Africa;Spain;Sweden;Switzerland;Turkey;United Kingdom;United States
1980;-0,899;0,784;-0,318;1,102;;;;;;0,414;n/a;2,24;0,835;2,484;2,044;;;;;10,967;;n/a;-1,408;-5,627;;;n/a;;1,969;n/a;0,634;;5,61;n/a;;-2,66;7,766;;;-1,006;-2,752
1981;0,564;-1,58;-2,153;2,144;;;;;;-2,743;n/a;-0,073;0,023;0,649;-0,295;;;;;11,032;;-0,922;-0,12;-7,139;;;n/a;;-0,352;n/a;0,12;;5,058;n/a;;-4,738;-0,868;;;-2,818;-2,045
1982;-1,753;-1,476;-3,149;-3,538;;;;;;-1,76;n/a;-0,562;0,358;-2,067;-2,018;;;;;10,892;;-2,35;0,406;-7,537;;;n/a;;-2,444;n/a;-1,765;;3,803;n/a;;-5,201;-1,462;;;-2,498;-6,547
1983;-4,81;-0,504;-4,465;-3,569;;;;;;-1,793;n/a;-0,618;-0,359;-2,556;-3,441;;;;;9,863;;-3,552;1,179;-3,847;;;n/a;;-2,389;n/a;-2,186;;1,388;n/a;;-5,403;-1,361;;;-0,331;-5,158
1984;-2,656;-2,323;-3,896;-0,846;;;;;;-0,302;n/a;-0,516;-0,772;-1,969;-1,976;;;;;6,464;;-2,86;2,66;-2,789;;;n/a;;-0,388;n/a;-1,086;;-3,017;n/a;;-5,644;0,511;;;-0,778;-1,459
1985;-1,355;-2,09;-4,125;0,527;;;;;;1,14;n/a;-0,401;-1,303;-2,144;0,608;;;;;6,9;;-2,66;4,275;-4,32;;;-2,027;;0,254;n/a;1,315;;-4,871;n/a;;-5,423;0,645;;;0,148;-0,817
1986;-1,925;-1,457;-4,325;-0,532;;;;;;3,687;n/a;-0,319;-1,607;-2,263;1,257;;;;;5,959;;-2,47;3,671;-2,806;;;1,054;;-0,344;n/a;2,648;;-5,332;n/a;;-5,299;1,061;;;-0,3;-0,997
1987;-1,064;0,201;-4,176;0,606;;;;;;1,916;n/a;2,376;-1,616;-3,422;-1,144;;;;;3,368;;-1,96;4,314;-0,169;;;-0,732;;-1,002;n/a;3,501;;-2,029;n/a;;-2,757;1,702;;;1,327;-0,899
1988;-0,865;-1,366;-2,024;2,5;;;;;;0,125;n/a;5,468;0,065;-2,536;2,051;;;;;3,403;;-0,444;6,733;2,108;;;1,724;;-1,331;n/a;0,435;;-0,865;n/a;;-0,536;2,399;;;2,331;0,072
1989;1,684;-0,222;-1,024;2,899;;;;;;-0,885;n/a;7,675;1,728;-1,513;4,692;;;;;2,588;;0,515;7,131;-0,049;;;5,601;;0,272;n/a;-1,441;;1,559;n/a;;1,504;3,267;;;3,091;0,686
1990;0,623;1,358;-0,356;1,258;;;;;;-1,135;n/a;5,116;2,241;1,297;3,231;;;;;3,664;;0,483;7,922;0,669;;;5,319;;1;n/a;-0,97;;5,325;n/a;;2,505;3,426;;;1,56;-0,406
1991;-2,837;2,183;-0,838;-1,507;;;;;;-1,531;n/a;-1,679;1;2,603;4,363;;;;;6,134;;0,161;7,732;2,406;;;8,565;;0,209;n/a;-1,615;;4,865;n/a;;2,268;1,267;;;-1,273;-2,892
1992;-3,099;1,545;-1,514;-2,227;;;;;;-1,527;n/a;-5,2;0,454;2,575;3,698;;;;;2,876;;-0,699;5,779;0,451;;;5,093;;-0,709;n/a;-1,524;;4,369;n/a;;0,427;-1,834;;;-2,53;-2,019
1993;-2,263;-0,569;-4,413;-1,768;;;;;;-3,577;n/a;-6,628;-1,884;-0,633;0,878;;;;;1,055;;-3,03;3,095;-0,598;;;4,272;;-1,64;n/a;-1,506;;0,212;2,672;;-3,457;-5,06;;;-2,131;-1,926
