GEO/TIME;Costa Rica;Lithuania;Colombia;Greece;France;Sweden;Chile;New Zealand;Switzerland;Ireland;Austria;Italy;Portugal;Luxembourg;Germany (until 1990 former territory of the FRG);Poland;Czechia;Latvia;European Union - 27 countries (from 2020);Saudi Arabia;Euro area - 19 countries  (from 2015);China including Hong Kong;South Africa;Indonesia;India;Turkey;Israel;Belgium;Mexico;Slovakia;United States;Netherlands;Brazil;Finland;Slovenia;Canada;Hungary;Norway;Japan;Spain;Denmark;Estonia;United Kingdom;Iceland;Australia;South Korea;Romania;Bulgaria;Russia;Argentina;;;European Union - 28 countries (2013-2020);Croatia;Cyprus;Malta;Montenegro;North Macedonia;Albania;Serbia;Belarus;Bosnia and Herzegovina;Kosovo (under United Nations Security Council Resolution 1244/99);Moldova;Ukraine;Kenya;Mauritius;Rwanda;Seychelles;Algeria;Egypt;Morocco;Botswana;Namibia;Cabo Verde;Nigeria;Dominican Republic;Jamaica;El Salvador;Guatemala;Honduras;Nicaragua;Bolivia;Ecuador;Paraguay;Peru;Uruguay;Kyrgyzstan;Hong Kong;Macao;Mongolia;;Sri Lanka;Brunei Darussalam;Cambodia;Malaysia;Philippines;Singapore;Thailand;Armenia;Azerbaijan;Georgia;Palestine;;Samoa
1975Q1; ; ; ; ;56831; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;391688; ; ; ; ;39215; ; ; ; ; ; ;24785; ;16991;2007600; ; ; ; ;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11 914,00; ; ;; ; ; ; ; ;3209.4; ; ; ; ; ;; 
1975Q2; ; ; ; ;58102; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;414253; ; ; ; ;42101; ; ; ; ; ; ;26323; ;18390;2766000; ; ; ; ;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11 831,00; ; ;; ; ; ; ;56 789,00;3 307,00; ; ; ; ; ;; 
1975Q3; ; ; ; ;59786; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;423323; ; ; ; ;49399; ; ; ; ; ; ;27928; ;19059;2666300; ; ; ; ;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;13 010,00; ; ;; ; ; ; ; ;3519.3; ; ; ; ; ;; 
1975Q4; ; ; ; ;61921; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;455641; ; ; ; ;47330; ; ; ; ; ; ;30238; ;22557;3103700; ; ; ; ;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;12 833,00; ; ;; ; ; ; ;57 932,00;3 693,00; ; ; ; ; ;; 
1976Q1; ; ; ; ;64355; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;441178; ; ; ; ;46263; ; ; ; ; ; ;30153; ;20050;2806700; ; ; ; ;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;14 890,00; ; ;; ; ; ; ; ;3545.1; ; ; ; ; ;; 
1976Q2; ; ; ; ;67306; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;465343; ; ; ; ;50134; ; ; ; ; ; ;30954; ;21667;3820400; ; ; ; ;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;14 721,00; ; ;; ; ; ; ;64 194,00;3620.2; ; ; ; ; ;; 
1976Q3; ; ; ; ;69803; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;466535; ; ; ; ;56115; ; ; ; ; ; ;32710; ;22918;3704300; ; ; ; ;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;16 650,00; ; ;; ; ; ; ; ;3846.5; ; ; ; ; ;; 
1976Q4; ; ; ; ;71948; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;500358; ; ; ; ;53495; ; ; ; ; ; ;35633; ;25789;4141400; ; ; ; ;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;16 896,00; ; ;; ; ; ; ;68 956,00;3991.6; ; ; ; ; ;; 
1977Q1; ; ; ; ;73737; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;481996; ; ; ; ;52280; ; ; ; ; ; ;34845; ;22898;3569800; ; ; ; ;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17 492,00; ; ;; ; ; ; ; ;3873.5; ; ; ; ; ;; 
1977Q2; ; ; ; ;75859; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;515010; ; ; ; ;54826; ; ; ; ; ; ;36588; ;24581;4675000; ; ; ; ;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17 111,00; ; ;; ; ; ; ;76 909,00;3963.1; ; ; ; ; ;; 
