GEO/TIME;France;Germany;Italia;Spain;Japan;United_Kingdom;United_States;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975Q1;237727,0;;;;;180405,0;5551713,000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975Q2;237076,0;;;;;177442,3;5591382,000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975Q3;237162,0;;;;;176835,5;5687087,000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975Q4;242059,0;;;;;178863,1;5763665,000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976Q1;244436,0;;;;;181693,7;5893276,000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976Q2;247810,0;;;;;181393,5;5936515,000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976Q3;250549,0;;;;;183664,4;5969089,000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976Q4;252236,0;;;;;187560,4;6012356,000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977Q1;255139,0;;;;;187613,7;6083391,000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977Q2;255962,0;;;;;186310,5;6201659,000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977Q3;258288,0;;;;;187608,3;6313559,000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977Q4;260391,0;;;;;190827,0;6313697,000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1978Q1;263824,0;;;;;192529,0;6333848,000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1978Q2;266635,0;;;;;194771,8;6578605,000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1978Q3;268767,0;;;;;197449,6;6644754,000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1978Q4;271679,0;;;;;199240,3;6734069,000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1979Q1;274054,0;;;;;198533,1;6746176,000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
