Date;Costa_Rica;Lituanie;Colombie;Grece;France;Suede;Chili;New_Zealand;Suisse;Irlande;Autriche;Italie;Portugal;Luxembourg;Allemagne;Pologne;Tchéquie;Lettonie;EU27_2020;Arabie_Saoudite;EA19;G20;Chine;Afrique_du_sud;Indonesie;Inde;Turquie;Isreal;Belgique;Mexique;Slovaquie;USA;Pays_bas;Bresil;Finlande;Slovenie;Canada;Hongrie;Norvege;OCDE;Japon;Espagne;Danemark;Estonie;Royaume-Uni;Islande;Australie;Corée_du_sud;Roumanie;Bulgarie;G7;OECDE;Russie;Argentine
1970-Q1;;;;;37,7;38,7;;;0;;;;;;;;;;;;;;;32,4;;;;;;;;28,4;;;;;29,3;;;29,7;;;;;36,4;;24,9;4,1;;;32,4;;;
1970-Q2;;;;;38,2;39;;;0;;;;;;;;;;;;;;;33,1;;;;;;;;28,4;;;;;29,3;;;30;;;;;37,2;;25,3;4,3;;;32,7;;;
1970-Q3;;;;;38,7;40,2;;;0;;;;;;;;;;;;;;;32,7;;;;;;;;28,7;;;;;29,6;;;30,4;;;;;37,6;;25,3;4,3;;;33,2;;;
1970-Q4;;;;;39,3;40,4;;;0;;;;;;;;;;;;;;;33,8;;;;;;;;28,4;;;;;29,6;;;30,5;;;;;37,9;;25,4;4,7;;;33,2;;;
1971-Q1;;;;;39,4;39,9;;;0;;;;;;;;;;;;;;;34,3;;;;;;;;29,2;;;;;29,5;;;30,7;;;;;37,8;;25,7;4,7;;;33,5;;;
1971-Q2;;;;;40,1;39,5;;;0;;;;;;;;;;;;;;;34;;;;;;;;29,3;;;;;30,3;;;31,1;;;;;38,4;;25,8;4,8;;;33,9;;;
1971-Q3;;;;;40,7;40,2;;;0;;;;;;;;;;;;;;;34,5;;;;;;;;29,6;;;;;31,2;;;31,5;;;;;39,1;;26,6;4,8;;;34,3;;;
1971-Q4;;;;;41,1;39,8;;;0;;;;;;;;;;;;;;;34,7;;;;;;;;29,6;;;;;31,5;;;31,7;;;;;39,3;;26,6;4,9;;;34,4;;;
1972-Q1;;;;;41,6;40;;;0;;;;;;;;;;;;;;;34,5;;;;;;;;30,2;;;;;31,4;;;32,2;;;;;39,3;;26,2;4,9;;;35;;;
1972-Q2;;;;;41,8;40;;;0;;;;;;;;;;;;;;;34,9;;;;;;;;30,9;;;;;32,3;;;32,8;;;;;40,3;;26,8;5,1;;;35,6;;;
1972-Q3;;;;;42,2;41,2;;;0;;;;;;;;;;;;;;;34,9;;;;;;;;31,2;;;;;32,4;;;33,2;;;;;40,5;;26,7;5,2;;;36;;;
1972-Q4;;;;;42,9;41,9;;;0;;;;;;;;;;;;;;;35,5;;;;;;;;31,7;;;;;33,1;;;33,8;;;;;41,1;;27;5,4;;;36,7;;;
1973-Q1;;;;;43,7;42,2;;;0;;;;;;;;;;;;;;;36;;;;;;;;32,5;;;;;34;;;34,6;;;;;43,1;;27,7;5,6;;;37,6;;;
1973-Q2;;;;;44,2;42,2;;;0;;;;;;;;;;;;;;;35,8;;;;;;;;32,8;;;;;34,4;;;34,9;;;;;43,2;;27,7;5,8;;;38;;;
1973-Q3;;;;;44,6;42,5;;;0;;;;;;;;;;;;;;;36,9;;;;;;;;32,6;;;;;34,5;;;35,1;;;;;42,8;;28;6,1;;;38;;;
1973-Q4;;;;;45,1;43,1;;;0;;;;;;;;;;;;;;;37,6;;;;;;;;33;;;;;35,1;;;35,5;;;;;42,6;;28,7;6,2;;;38,4;;;
1974-Q1;;;;;45,6;42,9;;;0;;;;;;;;;;;;;;;38,3;;;;;;;;32,7;;;;;35,4;;;35,3;;;;;41,4;;28,7;6,5;;;38,1;;;
1974-Q2;;;;;45,8;43,6;;;0;;;;;;;;;;;;;;;38,8;;;;;;;;32,8;;;;;35,8;;;35,5;;;;;42;;28,1;6,4;;;38,3;;;
