GEO/TIME;Costa Rica;Lithuania;Colombia;Greece;France;Sweden;Chile;New Zealand;Switzerland;Ireland;Austria;Italy;Portugal;Luxembourg;Germany (until 1990 former territory of the FRG);Poland;Czechia;Latvia;European Union - 27 countries (from 2020);Saudi Arabia;Euro area - 19 countries  (from 2015);China including Hong Kong;South Africa;Indonesia;India;Turkey;Israel;Belgium;Mexico;Slovakia;United States;Netherlands;Brazil;Finland;Slovenia;Canada;Hungary;Norway;Japan;Spain;Denmark;Estonia;United Kingdom;Iceland;Australia;South Korea;Romania;Bulgaria;Russia;Argentina
1975Q1;;;;;237508,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123514;23805900;;;;
1975Q2;;;;;237208,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;131409;29061600;;;;
1975Q3;;;;;237165,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;129284;28373600;;;;
1975Q4;;;;;242081,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144741;34716800;;;;
1976Q1;;;;;244469,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;128784;26745000;;;;
1976Q2;;;;;247844,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;133289;33298500;;;;
1976Q3;;;;;250551,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;136165;32227100;;;;
1976Q4;;;;;252254,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;151009;39018500;;;;
1977Q1;;;;;255004,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;130900;29210400;;;;
1977Q2;;;;;255991,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;137296;36235500;;;;
1977Q3;;;;;258210,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;138355;36593500;;;;
1977Q4;;;;;260259,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150837;45445500;;;;
1978Q1;;;;;263751,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;264399,3;;;;;;;132063;33621600;;;;
1978Q2;;;;;266701,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;272942,2;;;;;;;139074;40978100;;;;
1978Q3;;;;;268552,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;273589,2;;;;;;;140073;40176000;;;;
1978Q4;;;;;271420,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;286569,6;;;;;;;157432;48863200;;;;
1979Q1;;;;;274156,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;278802,2;;;;;;;142604;38544000;;;;
1979Q2;;;;;275498,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;270279,4;;;;;;;142914;45718200;;;;
1979Q3;;;;;278958,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;288901,1;;;;;;;144896;43297400;;;;
1979Q4;;;;;279909,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;307506,9;;;;;;;164307;50268800;;;;
1980Q1;;;;;279923,3;;;;88894,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;307113,7;;;;;;;142882;38624400;;;;
1980Q2;;;;;282716,3;;;;92264,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;294138,3;;;;;;;148636;44131800;;;;
1980Q3;;;;;267081,0;;;;91707,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;285743,2;;;;;;;150327;44290800;;;;
1980Q4;;;;;289741,8;;;;98198,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;310781,6;;;;;;;169031;47854900;;;;
1981Q1;;;;;279141,7;;;;89718,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;307266,5;;;;;;;145565;40088100;;;;
1981Q2;;;;;284916,1;;;;94441,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;300396,5;;;;;;;155859;45837100;;;;
1981Q3;;;;;270662,3;;;;93809,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;295706,0;;;;;;;158243;47772400;;;;
1981Q4;;;;;296704,4;;;;99037,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;313552,2;;;;;;;176753;53877900;;;;
1982Q1;;;;;286909,2;;;;90422,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;307355,8;;;;;;;148777;43697700;;;;
1982Q2;;;;;293415,8;;;;93240,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;299693,6;;;;;;;157649;49821500;;;;
1982Q3;;;;;277070,4;;;;91656,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;296782,0;;;;;;;157064;51668200;;;;
1982Q4;;;;;302376,4;;;;96750,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;315953,8;;;;;;;170609;58028400;;;;
1983Q1;;;;;292624,6;;;;90318,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;312997,9;;;;;;;145823;49699100;;;;
1983Q2;;;;;296511,2;;;;93068,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;315199,2;;;;;;;153658;56472800;;;;
1983Q3;;;;;279933,9;;;;92748,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;309603,8;;;;;;;155854;59963100;;;;
1983Q4;;;;;305089,2;;;;98312,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;330444,3;;;;;;;177592;64263300;;;;
1984Q1;;;;;297147,9;;;;92199,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;333573,8;;;;;;;158021;56557100;;;;
1984Q2;;;;;298798,9;;;;95475,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;326869,0;;;;;;;164483;63361700;;;;
1984Q3;;;;;286225,2;;;;96140,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;333759,1;;;;;;;165064;65688500;;;;
1984Q4;;;;;309758,4;;;;101898,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;350801,5;;;;;;;186985;69101800;;;;
1985Q1;;;;;299653,9;;;;95800,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;354875,1;;;;;;;163535;60797600;;;;
1985Q2;;;;;303871,0;;;;99761,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;342297,8;;;;;;;174819;67581300;;;;
1985Q3;;;;;292246,9;;;;99035,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;348856,5;;;;;;;176712;70487500;;;;
1985Q4;;;;;315502,8;;;;105285,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;373667,1;;;;;;;193590;75809000;;;;
1986Q1;;;;;305436,0;;;;97515,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;363969,7;;;;;;;170888;66339300;;;;
1986Q2;;;;;312661,5;;;;102343,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;361898,7;;;;;;;177041;74470300;;;;
1986Q3;;;;;298901,4;;;;100896,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;361634,1;;;;;;;177923;80269200;;;;
1986Q4;;;;;322591,1;;;;106560,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;389582,5;;;;;;;195706;84709800;;;;
