Time;Australia;Austria;Belgium;Canada;Chile;China;Colombia;Costa Rica;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;India;Indonesia;Ireland;Israel;Italy;Japan;Korea;Latvia;Lithuania;Luxembourg;Mexico;Netherlands;New Zealand;Norway;Poland;Portugal;Roumanie;Slovak Republic;South Africa;Spain;Sweden;Switzerland;Turkey;United Kingdom;United States;EU27
1971;;;;;;;0.342035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1972;;;;;;;0.470783;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;;;;;;;0.5547;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974;;;;;;;0.574754;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975;;;;;;;2.768873;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976;;;;;;;0.527022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977;;;;;;;1.842412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1978;;;;;;;0.066461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1979;;;;;;;0.173087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;;;;;;;-0.613208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;;;;;;1.702459;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1982;;;;;;;-1.04318;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1983;;;;;;;-2.583413;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1984;;;;;;;-1.714394;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985;;;;;;;3.601454;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986;;;;;;;1.061518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987;;;;;;;2.552043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;;;;;;;1.147309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989;;;;;;;2.177823;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990;;;;;;;0.219262;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991;;;;;;;4.4156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
